CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CASE_6	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	width
ARHGAP33	22371	34224	24781	0	0	0	6516	26966	7078	0	0	0	14291
NDUFAB1	193278	307550	351955	100	77	302	183273	379821	225459	30	102	22	15355
PDK4	6114234	14313929	6957484	1382	445	3865	383103	1063454	2301031	115	252	505	12993
SLC22A16	0	404	404	0	0	0	0	0	0	0	0	0	51955
ZMYND10	202	1152	1907	0	0	0	121	202	0	0	0	0	5743
ABCB5	0	83	0	0	0	0	0	0	0	0	0	0	161832
ARX	0	0	0	0	0	0	0	0	0	0	0	0	12727
SLC25A13	17027	22351	20412	72	41	0	8896	26366	16969	20	21	52	201928
ST7	38882	97010	83386	86	0	159	37626	77239	38627	48	65	86	276866
CDC27	115196	140535	148444	48	105	118	63478	147921	77849	42	0	23	71720
SLC4A1	303	202	202	41	0	20	0	0	0	0	0	0	19757
CALCR	0	202	1006	0	0	23	202	202	0	0	0	0	150244
HCCS	58417	98709	95438	71	22	49	41449	101093	55218	0	23	100	11778
DVL2	23985	46681	44475	86	0	74	20543	48583	18762	32	0	0	9205
PRSS22	0	0	0	0	0	0	0	0	3	0	0	0	5444
UPF1	157052	258217	177478	62	0	116	57993	168967	82821	0	0	50	36299
SKAP2	6857	20660	25520	0	69	88	6246	21040	8276	0	0	72	328178
SLC25A5	223095	277368	212302	22	48	170	59560	230930	102035	25	33	0	2920
MCUB	6885	11091	10540	0	0	82	4539	5528	5880	0	0	0	128522
HOXA11	0	0	0	0	0	0	0	0	0	0	0	0	3714
POLR2J	51492	88730	102514	0	0	0	40087	99543	55012	23	0	33	5790
DHX33	26221	43880	43074	34	0	0	15433	42266	22852	0	0	22	28149
MEOX1	60013	16333	38039	20	21	0	29597	52246	18275	0	0	0	21567
THSD7A	3794	9585	12619	0	0	0	5102	8475	1515	0	0	0	461842
LIG3	50186	64600	76493	0	0	20	31355	73133	42502	54	0	0	29250
RPAP3	30828	56292	61559	64	21	29	25228	59345	26266	0	0	42	44813
ACSM3	36216	85453	41611	0	0	0	26798	102081	18245	24	29	0	187339
REXO5	5653	8087	10293	0	0	0	5912	6387	5992	0	0	0	43240
CIAPIN1	51175	69921	59269	40	53	31	30078	77835	45464	4	35	14	19360
SPPL2B	57302	96732	81731	266	365	368	25784	90326	38974	482	605	798	26192
FAM214B	85877	75405	44366	28	0	44	21749	64037	35542	0	44	92	12230
COPZ2	37079	56360	40688	0	0	0	17985	44446	19745	0	0	0	11864
PRKAR2B	67129	121332	85101	0	0	151	30201	52509	28880	0	0	0	117163
MSL3	30293	54150	40354	0	0	0	17579	48239	19345	0	0	24	17595
CREBBP	185187	430582	304727	107	41	545	93051	238904	102408	121	114	100	155673
TSPOAP1	20199	64426	77673	0	26	45	37245	92840	27848	0	0	91	27533
MPO	604	202	1009	0	0	0	603	202	202	0	0	0	11080
PON1	0	476	536	24	0	0	0	404	202	0	0	0	27032
GCFC2	16223	45909	47336	0	28	0	20590	39632	21692	0	0	21	58990
WDR54	3177	5623	3732	0	0	0	963	2750	1673	0	0	0	4078
CROT	7674	18328	23653	0	0	0	8711	26668	10730	0	0	0	54115
ABCB4	9679	13493	28983	0	0	9	9976	27889	13694	0	88	0	78739
KMT2E	147769	246595	211120	94	101	93	78199	181902	95720	154	219	293	100183
RHBDD2	44142	54828	52698	0	25	123	18291	53714	28602	0	0	0	46325
SOX8	12979	10252	7200	0	0	0	2617	5841	2221	0	0	0	5172
IBTK	108164	145710	189283	86	139	121	88742	189298	113785	74	178	323	77772
ZNF195	18870	38620	27624	0	0	0	11930	34830	14009	24	25	0	39962
MYCBP2	69236	129996	156891	79	0	299	65257	140367	77573	46	196	29	282396
FBXL3	103325	217705	171195	70	24	173	56896	158246	75158	0	48	249	34598
ITGAL	2311	11783	14073	0	0	0	829	3494	1496	0	0	0	50528
PDK2	184639	444308	431650	36	0	324	159914	418812	235327	26	0	113	17416
ITGA3	52059	44365	68799	76	0	127	27991	69895	26681	0	0	23	34514
ZFX	41877	119027	83471	47	0	282	33179	117857	36759	49	56	77	67083
LAMP2	108512	192345	184928	21	0	92	70377	164332	86260	24	0	76	41539
ITGA2B	1005	1974	1715	0	0	0	1255	1168	808	0	0	0	17326
ASB4	5732	26802	11306	0	0	84	9279	8570	3839	0	0	0	61789
GDE1	169282	281569	273390	0	0	196	136935	309577	165316	0	98	23	20457
REX1BD	44123	46950	44003	22	0	0	30622	47591	27260	0	22	23	3652
CRLF1	53638	25684	11661	0	0	20	9413	18764	10110	0	0	0	35522
OSBPL7	16724	25679	22716	0	0	0	10435	24423	9824	0	0	0	14463
TMEM98	12269	25059	23773	0	0	0	12800	17268	8014	0	0	22	17197
YBX2	2401	4334	3766	0	0	0	3396	5595	2239	0	0	0	6364
KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	4721
MAP3K14	42595	81365	75597	21	24	162	34511	62905	26723	85	50	280	53920
ABCC8	100307	26010	7178	0	0	0	6457	25122	11832	0	0	0	83961
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	107249
TMEM132A	13244	20911	15167	0	0	28	5850	15969	7617	0	0	34	12697
AP2B1	292928	502199	434503	67	0	235	171478	439703	237513	162	67	25	148364
TAC1	0	2078	403	0	0	0	0	0	0	0	0	0	8565
ZNF263	47525	98302	58527	0	56	41	25529	66383	26158	25	20	24	37602
CX3CL1	73251	120116	82204	114	158	180	32365	64108	32867	49	21	53	12591
SPATA20	99396	208039	155638	77	23	163	79127	144469	100727	40	0	43	12795
CACNA1G	1211	3513	2924	0	0	0	991	808	1212	0	0	0	66407
TNFRSF12A	229577	114759	61006	56	76	109	15242	84241	112735	21	38	29	3939
DLX6	0	101	43	0	0	49	0	0	407	0	0	0	5492
MAP3K9	4833	6760	10577	0	0	20	7479	10665	6758	20	0	0	87009
RALA	37358	64297	94275	25	0	25	31180	64175	35826	24	0	0	84642
BAIAP2L1	12084	19864	13829	0	0	0	11408	23431	5567	14	22	0	109418
KDM7A	45027	105129	98553	24	0	74	36212	78141	32615	0	82	52	92290
ETV1	107369	167892	152974	60	20	72	47412	212655	48807	0	0	0	100198
AGK	55820	83636	107643	0	21	0	33639	100255	51715	0	0	26	104056
ALDH3B1	8588	12730	9081	0	0	20	4206	12383	4136	0	39	40	20705
TTC22	404	1818	491	24	0	0	0	805	0	0	0	0	21556
PHTF2	78911	138588	77527	29	24	154	45166	77983	43157	0	0	53	158712
CCL26	0	0	404	0	0	0	0	202	403	0	0	0	20364
FARP2	49610	82244	49472	0	0	175	21581	53742	27789	0	0	66	138599
USH1C	1182	0	569	0	0	0	202	0	202	0	0	0	50522
GGCT	16650	38138	30546	0	0	0	10693	35535	11134	0	0	0	8224
DBF4	4740	7996	6391	0	0	0	1459	5872	2865	0	0	0	33326
TBXA2R	4106	6321	4691	0	0	0	2747	9960	3898	0	0	0	12335
IFRD1	65688	91248	55354	87	24	124	31346	88986	36630	207	50	236	58050
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	5139
COX10	75800	109750	138236	0	117	108	61489	148212	89259	35	36	0	139182
GTF2IRD1	46386	83159	29453	0	0	75	24379	57456	22763	0	33	20	148815
PAF1	88882	184477	147128	29	27	142	55646	131197	64790	37	58	36	5344
VPS41	74965	112829	102573	32	38	50	38751	93410	43765	22	0	0	209432
ARHGAP44	19264	48328	26971	22	0	77	11420	38360	20735	0	0	0	202105
ELAC2	129580	202036	209499	26	0	191	91923	238050	97558	0	0	44	25797
SCIN	404	1004	2222	0	0	0	201	401	0	0	0	0	89603
ARSD	28140	44056	27926	0	0	34	9865	36558	16861	0	0	0	25382
PNPLA4	29788	78839	50441	0	0	0	25593	71849	34275	0	0	44	29493
MYH13	586	1403	659	0	0	0	180	980	398	0	25	0	72266
ADIPOR2	157788	278205	161114	0	0	159	68379	168560	104897	91	0	25	100105
CDKL3	2509	5730	6544	0	0	0	2782	4921	3302	0	0	0	84698
UPP2	27	0	116	0	0	0	216	0	0	0	0	0	259453
PRSS21	0	0	0	0	0	0	0	0	0	0	0	0	9125
MARK4	54536	83012	62653	31	0	47	30277	63990	34081	0	0	29	225996
PROM1	14424	27968	29918	839	819	966	4331	9590	4091	1007	378	800	121303
CCDC124	64987	99821	84374	0	0	30	40543	94725	53920	0	0	0	10976
CEACAM21	1212	820	665	0	35	0	202	424	0	0	0	0	37327
PAFAH1B1	364002	519987	515840	497	469	827	233584	525864	274987	347	302	713	92406
NOS2	606	808	2821	0	0	0	404	808	807	0	0	0	43734
DNAH9	442	404	202	0	0	0	46	0	0	0	0	0	371318
KIAA0100	235935	371819	327827	0	55	1476	152074	374076	178099	0	51	86	31015
SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	24489
GAS7	398843	323425	359191	70	94	427	199731	359262	144427	79	48	128	287943
TRAPPC6A	11726	13112	8877	0	20	0	3860	14398	4222	0	0	0	15310
MATK	614	807	950	0	0	0	202	176	404	0	0	0	24160
CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	33670
CD79B	4132	4036	8766	0	0	0	4302	5852	4198	0	0	0	3615
SCN4A	2988	9411	16338	0	0	0	805	6956	1212	0	0	0	34365
ST7L	22813	43042	31123	0	23	22	18055	30579	19176	0	59	59	97308
TKTL1	6637	17920	28431	0	0	0	10400	28668	8859	0	0	0	34680
PAX6	2165	4395	5676	0	0	0	1985	5987	3030	0	0	0	33284
RPUSD1	15995	18332	16794	45	0	25	7260	15656	13193	0	0	0	3424
RHBDF1	103663	106124	80935	62	27	0	44202	135696	64686	0	48	3	18297
LUC7L	65211	141477	76216	45	25	70	39564	115686	41201	0	94	0	40495
CACNA2D2	9145	21162	12928	44	0	50	4214	11944	4627	0	0	49	141446
BAIAP3	8880	25331	31798	33	0	0	9432	29203	7435	0	0	0	15841
TSR3	55259	86815	64389	0	0	159	35871	76578	41450	0	0	0	2672
PIGQ	40614	61376	44789	0	0	0	21924	47558	20122	24	0	0	17142
CRAMP1	87138	141116	92838	25	26	123	38192	101513	40753	0	20	26	65584
TEAD3	146887	160177	78363	0	0	83	38446	142646	70570	0	0	0	23480
SELE	2823	19494	7579	0	0	0	2221	1413	606	0	58	0	42065
DNAJC11	119641	216808	245144	54	0	48	105489	239085	132795	0	0	0	67757
FMO3	8915	10869	6721	23	0	0	1611	6701	3425	20	0	0	26943
MYLIP	32732	77832	37858	85	23	136	18617	52752	15042	23	48	191	19124
NOX1	287	164	352	0	0	0	0	589	0	0	0	0	31022
E2F2	404	0	808	0	0	0	0	404	54	0	0	0	24791
PSMB1	110575	200258	168285	124	56	206	69288	153104	99908	44	0	128	18225
SYN1	14404	34720	23184	221	0	29	11545	42873	14266	0	63	0	48046
JARID2	34177	111897	77636	0	25	43	23309	65073	29984	21	38	0	275745
CDKL5	57308	69813	74037	0	27	76	27284	70035	39577	0	26	0	228047
CAMK1G	404	1049	0	0	0	0	202	0	0	0	0	0	30222
CDK11A	46937	104052	62864	48	0	50	24543	83489	30954	20	0	0	21595
NADK	88607	147847	53995	0	21	43	26096	83059	37897	0	0	92	29226
TFAP2B	0	200	0	0	0	0	0	0	403	0	0	0	28891
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	59161
DLEC1	19584	50412	43130	60	0	0	24286	41516	32929	0	23	0	84821
CYTH3	120058	172537	134806	0	93	197	58190	128932	66194	31	66	44	110869
ADAM22	3230	7393	24406	0	0	0	4140	12681	4845	0	0	0	268747
SYPL1	120498	185413	168252	24	92	66	120533	199668	105104	23	24	22	22074
CYB561	12454	20251	30797	0	0	0	11476	22228	9971	0	0	0	14075
SPAG9	147744	211182	207814	48	2	185	107662	220516	128513	42	108	44	158692
CELSR3	2428	4625	3763	0	0	0	556	1618	1211	0	0	0	26447
AASS	55253	110138	107906	68	0	43	46847	147906	71909	70	37	119	68634
PLEKHG6	263	1390	75	0	0	0	202	1141	202	0	0	0	18071
SS18L2	7731	11176	7568	21	0	23	3364	8733	4416	0	0	0	13275
MPND	15070	20980	21533	35	0	86	13642	24309	15977	0	38	0	16560
MGST1	26171	59437	26265	29	0	155	10047	24076	16426	0	25	90	262118
CRY1	58054	82757	51899	0	0	21	23596	38900	31691	20	50	0	102466
PGLYRP1	202	2514	662	0	0	0	0	364	0	0	0	0	3913
NFIX	163218	316939	310612	48	94	376	137606	345540	145925	41	65	25	103189
ST3GAL1	582618	1296531	602584	78	188	783	220584	788806	379260	0	22	68	117093
MMP25	6864	20442	7768	0	0	0	1966	3295	4002	0	0	21	14046
IL32	50058	49137	32783	27	50	42	32800	50930	36576	48	100	21	16896
PKD1	638473	712984	510249	462	373	1808	256663	621565	281040	247	242	364	47189
MAPK8IP2	605	2677	707	0	0	0	404	807	1009	0	0	0	13297
MED24	121882	195435	150670	50	23	113	68795	155074	83762	37	0	28	42119
RHOBTB2	101153	101603	119300	0	23	75	54140	132059	109657	0	0	72	32783
HEATR5B	49357	112439	128308	0	46	53	72369	112984	61081	62	23	52	115960
SEC62	139198	282151	232611	91	22	235	101156	196516	104820	42	34	34	31739
RPS20	354831	768113	530157	2807	793	4879	289718	703533	314600	822	3905	633	7287
CSDE1	2061656	3204301	2869814	325	151	1539	1271960	2613652	1490663	24	246	222	41764
UBE3C	155078	232790	244121	0	0	307	98878	206674	128978	0	85	23	130460
REV3L	37722	64833	71377	23	25	100	26118	57584	32610	41	50	92	184688
TENM1	3230	3225	5287	22	0	0	2222	6237	808	0	0	0	587915
PAX7	50	0	0	0	0	0	0	25	0	0	0	0	117861
MASP2	4500	10385	12869	0	0	0	4702	13309	4856	0	0	6	20711
IYD	0	0	0	0	0	0	0	0	0	21	0	0	37078
FAM76A	17603	32677	30804	0	54	58	15587	31996	14993	0	64	27	37144
TRAF3IP3	4610	11952	6014	0	0	0	1065	4931	2659	0	0	100	26289
POMT2	30499	40361	37192	0	0	60	17315	42235	20677	0	0	0	45929
VTA1	59081	103749	87935	0	0	62	32709	89815	44933	21	0	0	77528
MLXIPL	7533	23563	2932	0	0	44	3635	10554	9727	0	0	0	31350
BAZ1B	142871	255169	230977	81	24	289	102261	235384	99047	23	108	22	81881
RANBP9	73514	126000	104476	52	0	0	44363	99846	58043	0	50	59	90067
ETV7	202	1029	703	0	0	0	0	175	0	0	0	0	33710
SPRTN	17074	26616	21438	0	0	66	8695	16864	15727	20	0	0	17920
METTL13	27746	51104	46845	0	0	50	15196	52459	25642	20	0	22	32360
DYRK4	17436	25017	24078	0	0	0	12659	24379	17176	0	0	0	53099
ZNF207	162480	259282	240203	42	43	180	80378	220087	133088	0	0	29	31770
UQCRC1	843132	1280170	1173948	62	181	506	639281	1599166	918990	65	312	189	11975
STARD3NL	40622	48005	41915	32	0	54	19425	42963	16676	14	0	0	52450
CD9	107749	171812	102367	104	0	124	60277	136735	72789	31	0	84	38557
HHATL	597513	848556	852847	93	138	417	460362	1396775	626292	115	187	114	10165
NCAPD2	44251	80501	54680	73	41	219	22940	56884	23638	0	0	21	38600
IFFO1	52957	60942	88904	0	50	0	35855	61593	33008	0	0	79	17709
GIPR	7175	20786	15269	0	0	0	7766	19131	6519	0	0	0	15481
PHF7	5379	18186	20530	0	0	54	11517	21213	8517	0	0	48	12985
SEMA3G	67490	95284	80021	74	0	203	36232	65532	33278	0	21	0	12033
NISCH	206303	359076	232941	49	0	199	112209	299089	110887	21	100	86	37954
STAB1	161760	242358	256391	31	148	694	111081	232507	127758	204	98	216	29158
FUZ	17334	29246	31573	22	0	44	16377	32504	16534	0	21	24	10508
SLC6A13	4171	9955	6869	0	24	0	5435	7200	4092	0	0	0	42253
IDS	334956	534958	436062	39	59	345	200303	430060	219215	85	43	82	44107
PRSS3	54	70	0	0	0	0	0	0	155	0	0	0	48766
ZNF200	7675	15103	14911	0	21	0	10182	13390	10012	0	0	0	13897
CD4	16254	30902	36105	20	64	98	11511	22714	9112	25	0	49	33951
LRRC23	15066	24630	20128	0	24	0	8045	16586	8131	0	43	25	40675
BTK	3430	5370	6834	0	0	25	3111	3106	2221	25	0	23	41350
HFE	5286	16327	17907	0	0	35	5217	11553	7769	0	0	0	11063
SCMH1	138434	203676	144123	21	30	173	73555	174431	83082	0	0	27	214955
FYN	64210	110162	95861	29	0	163	37195	94945	40743	0	31	25	213121
HIVEP2	92163	139194	151235	76	42	233	64383	107404	62092	0	27	71	205232
FMO1	606	646	1244	0	0	24	202	807	194	0	0	0	37508
ELOA	82311	138907	130727	115	75	166	59431	154026	65816	24	0	32	18905
LYPLA2	28395	44279	42621	0	0	29	16336	45383	22920	25	0	0	4570
CLCN6	59066	109109	114370	0	44	0	42368	115622	46951	0	46	25	37049
MRC2	163330	152827	203377	0	48	144	50737	111827	44815	23	25	0	66197
NME1-NME2	116841	146718	165785	0	0	0	78770	194589	115743	0	22	34	18155
SLC6A7	1366	1796	3279	0	0	0	1462	4450	2042	0	0	0	32832
TSPAN9	329197	507199	629030	91	108	802	211797	565090	247000	24	80	70	209210
BTBD7	46541	71796	79027	253	121	442	32239	69176	33710	65	23	194	95543
APBA3	16616	25785	19791	40	0	0	9650	24846	10067	0	0	0	10881
MKS1	10661	17930	16857	0	22	0	4568	19754	9791	81	28	54	14169
ABHD5	29587	49472	34048	53	106	131	12864	46598	22025	71	0	76	44259
ANOS1	11398	28728	47155	0	0	38	16771	29474	11770	0	36	23	203313
AKAP8L	114671	253130	162434	0	32	45	65492	166661	65809	0	27	5	39094
MBTD1	26725	54415	61091	64	45	24	12817	37669	17401	46	50	109	82739
UTP18	12762	20606	14316	0	0	23	7880	16972	8317	0	42	97	37409
RNF216	95530	185543	115587	0	0	184	48800	142702	58615	0	38	34	161693
TTC19	63611	119740	117716	23	24	53	44655	103092	60540	21	0	68	45636
PTBP1	125878	234531	138303	119	88	194	58526	150224	75116	0	127	155	15253
DPF1	404	604	202	0	0	0	202	606	136	0	0	0	18709
SYT7	35139	75116	77258	0	0	43	38494	98495	67123	0	0	0	65836
LARS2	47984	92873	50524	0	35	0	35972	70445	47277	0	0	0	160916
PIK3C2A	76500	138947	116121	89	92	170	55578	126222	75037	48	101	109	130254
PLAUR	4648	20469	9142	0	0	22	4478	4802	3347	24	0	0	24453
ANLN	1413	1212	1110	0	0	27	606	2322	1012	0	0	0	63986
WIZ	102795	142081	90589	291	306	234	41788	112093	52547	223	442	307	29972
RABGAP1	191209	269866	227126	91	55	308	83801	194864	102592	75	4	0	164034
DCN	2708339	3952313	3136974	421	531	3350	1104510	2497241	1259143	281	262	512	42640
QPCTL	3867	5437	3875	0	0	0	2542	6942	1976	0	0	26	11507
PPP5C	122780	211696	181880	0	0	103	68764	181451	88581	0	32	62	45988
CEP68	77855	130115	136956	117	50	76	55659	110799	52131	0	64	0	30639
MAP4K3	79488	162968	152985	47	42	80	66796	130288	70698	24	62	27	188047
ZBTB32	0	830	544	0	0	0	0	121	42	0	0	0	12512
TYROBP	12022	22027	23564	0	0	37	8497	14254	8478	0	0	35	3895
TMEM159	75647	210388	205004	0	24	141	111737	245755	81176	0	50	0	22240
GABRA3	0	0	0	0	0	0	0	0	0	0	0	0	285125
BRCA1	8799	18682	27437	0	0	48	14264	22611	12180	0	0	0	125951
ERCC1	125235	182240	158244	37	0	54	84322	193711	119074	62	0	43	71496
CD22	56	690	1174	0	0	0	202	0	505	0	0	41	28095
SEMA3B	44116	68960	60006	20	22	67	31495	84629	40363	0	20	0	9989
MBTPS2	27514	41150	38929	0	0	21	16356	40816	23251	23	24	0	45789
PRICKLE3	16657	22756	17856	44	0	24	6918	23978	13256	0	21	44	11265
LTF	6832	8859	4422	0	0	0	7564	8050	3375	0	0	0	49590
EXTL3	193616	324435	240173	23	102	706	105095	209995	80556	23	0	70	155131
NR1H4	0	0	0	0	0	0	0	0	0	0	0	0	90706
ELOVL5	102531	140482	86363	39	23	114	38964	75042	51428	45	70	20	81782
ALOX5	9196	27291	13447	0	28	0	7003	15372	9324	0	34	0	71944
KDM5D	101561	1212	161409	0	38	0	67176	404	72314	32	0	66	41075
CALCOCO1	353295	799651	549409	36	31	252	210128	525785	227683	46	31	0	19229
UBR7	62809	108389	95733	42	0	0	35440	113858	50961	0	0	0	22160
MAP4K5	45794	67856	68784	22	0	48	29718	58233	26395	0	24	103	142626
EHD3	89382	89169	137851	0	0	110	44558	108776	55780	56	0	0	35111
PSMC4	90010	131435	115239	23	0	39	44083	93784	65597	0	34	128	10437
MAN2B2	102697	161576	102700	85	0	196	53340	128903	48458	0	0	0	48188
SLC7A14	0	0	3	0	0	0	0	99	0	0	0	0	126491
CLDN11	4826	5648	3474	0	0	0	3512	6962	4854	0	0	0	441516
SLC25A39	68849	108699	76785	29	0	0	32714	106560	53798	0	0	54	5246
MVP	82102	114559	96473	71	0	37	48922	100107	54479	0	52	24	27646
NUB1	95562	181203	140600	0	0	88	51542	151229	67069	0	0	0	36751
PGM3	48164	66189	70073	32	0	39	22373	46381	26218	0	21	0	32787
RWDD2A	10194	17603	25285	0	0	34	3866	15498	10569	0	0	0	5554
CLK1	177460	529921	211276	65	94	151	100540	254047	101126	77	41	0	11736
POLR3B	17728	28339	37133	0	20	50	17077	32577	20462	25	0	0	152541
ANGEL1	38639	60520	66883	0	0	180	32350	68273	37955	43	0	0	40069
RNF14	121102	211043	162592	138	0	216	79082	178540	91747	0	118	23	31964
DNASE1L1	66727	126100	128130	30	0	120	69581	115940	93447	0	0	68	10875
DDX11	16421	6539	28732	0	0	0	12315	30469	3202	0	0	0	30947
HEBP1	25417	47599	66265	0	0	0	29706	81425	42574	0	29	59	25410
GPRC5A	1609	26130	4028	0	0	21	4435	5247	2385	87	20	0	27156
MAMLD1	8591	14054	21688	0	0	0	5513	12110	4585	0	0	0	152757
CD6	807	2063	819	0	0	0	200	203	202	0	20	0	48698
TACC3	13753	27539	13938	0	0	0	7763	15411	7353	0	0	0	23687
UFL1	63763	109665	104733	37	0	67	55631	138969	68745	61	0	65	33682
POLA2	8076	19471	21096	0	0	34	8684	15653	6042	0	0	32	43828
ZC3H3	20668	40331	29117	26	36	0	13759	32446	13179	0	0	42	103799
CAPN1	107127	165582	152489	0	0	124	64710	189234	83551	86	0	121	31441
ACPP	202	202	802	0	0	0	202	604	605	0	0	0	50932
MDH1	1445351	2403071	2279805	104	96	1073	1079127	2675658	1533579	94	157	236	18589
SLC30A9	168234	287868	326841	56	0	73	129516	269976	142711	55	0	0	99986
MTMR11	10119	19999	14165	30	24	0	9092	15975	5870	0	0	0	8219
COX15	67252	121586	109552	21	0	93	43172	104976	41189	0	0	0	20257
CCDC88C	11705	49974	39269	0	0	0	10242	25075	4993	0	0	0	146522
YAF2	112793	179104	104098	40	67	0	37540	115967	54435	39	0	38	81246
ZMYND11	288011	388341	337083	63	64	204	142428	327122	170199	129	0	145	120173
WAS	3214	14018	7056	70	0	48	2691	5426	3003	0	0	158	14832
DPEP1	0	404	0	0	0	0	0	0	0	0	0	0	25149
BID	23770	48226	22762	0	0	80	9787	31368	18556	0	0	0	40633
NPC1L1	598	1433	599	0	0	0	0	1081	404	0	0	0	28781
XYLT2	30168	44065	60208	0	0	21	23632	54070	23419	38	0	65	17047
RGPD5	27345	40147	41210	75	0	35	18847	45295	20985	25	1	35	64938
STMN4	0	0	0	0	0	0	0	202	0	0	0	0	23098
